Grado,Promedio_Horner,Promedio_Tradicional
10,0.28,1.03
20,0.53,3.91
30,0.88,8.87
40,1.51,16.91
50,1.67,27.84
60,2.11,41.45
70,2.47,60.13
80,2.66,76.23
90,3.05,96.76
100,3.4,124.4
110,3.71,152.02
120,4.09,186.58
130,4.52,218.65
140,4.79,246.41
150,5.12,296.88
160,5.54,358.71
170,5.78,399.18
180,6.58,446.92
190,6.92,496.76
200,8.36,549.54
210,7.46,603.48
220,8.22,660.86
230,8.4,715.47
240,8.83,975.39
250,10.23,891
260,9.14,933.82
270,9.95,979.87
280,9.77,1037.59
290,10.11,1120.59
300,10.43,1199.34
310,10.79,1296.27
320,11.23,1369
330,11.48,1463.11
340,12.02,1562.25
350,12.42,1635.13
360,12.63,1730.02
370,13.66,1856.99
380,13.4,1972.13
390,13.7,2059.98
400,14.34,2167.25
410,14.28,2268.03
420,15.41,2391.92
430,15.09,2501.12
440,15.93,2641.4
450,15.86,2745.43
460,16.13,2863.97
470,16.48,3016.26
480,17.21,3142.7
490,17.19,3264.23
500,19.99,3385.65
510,18.47,3533.52
520,18.12,3687.8
530,19.88,3820.52
540,18.9,4014.86
550,19.5,4284.1
560,19.74,4278.32
570,20.02,4420.75
580,20.39,4721.79
590,20.72,4845.22
600,21.11,4894.95
610,21.33,5095.58
620,21.91,5254.97
630,22.76,5440.84
640,22.26,5580.83
650,22.85,5805.94
660,23.11,5955.16
670,23.33,6170.13
680,25.55,6376.68
690,24.15,6524.63
700,24.67,6712.29
710,25.04,6911.07
720,25.28,7122.09
730,25.97,7549.68
740,30.28,7928.04
750,28.46,8077.2
760,29.97,7999.42
770,27.02,8109.93
780,27.88,8298.93
790,27.89,8583.24
800,29.22,8692.74
810,29.53,8933.18
820,28.72,9189.25
830,29.2,9425.37
840,29.29,9627.85
850,29.77,9835.54
860,30.08,10062.5
870,30.44,10306.3
880,30.85,10564.9
890,30.99,10827.1
900,31.89,11038.6
910,31.86,11308.3
920,32.25,11588.3
930,34.43,11858.8
940,32.96,12108
950,33.37,12337.6
960,33.47,12599
970,34.21,12885.4
980,35.32,13164.3
990,34.61,13405.7
1000,35.16,13653.2
